STT,ITEM,VENDOR,DESCR,TINH TRANG,STATUS
1,3436535,11773,110-CTy CP SX Nhua Duy Tan,Dang kinh doanh,Y
4,3507857,11773,110-CTy CP SX Nhua Duy Tan,Ngung kinh doanh(Ban cham),N
5,3507858,11773,110-CTy CP SX Nhua Duy Tan,Dang kinh doanh,Y
9,3517501,11773,110-CTy CP SX Nhua Duy Tan,Dang kinh doanh,Y
10,3517622,11773,110-CTy CP SX Nhua Duy Tan,Dang kinh doanh,Y
11,3518223,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),Ngung kinh doanh(Ban cham-khg co vi tri),N
12,3554245,11773,110-CTy CP SX Nhua Duy Tan,Khg kinh doanh,N
13,3550852,11773,110-CTy CP SX Nhua Duy Tan,Dang kinh doanh,Y
14,3430008,16964,100-CTy TNHH Tan Hop Thanh,Dang kinh doanh,Y
15,3430009,16964,100-CTy TNHH Tan Hop Thanh,Dang kinh doanh,Y
16,3430010,16964,100-CTy TNHH Tan Hop Thanh,Ngung kinh doanh(Ma C),N
17,3554248,11773,110-CTy CP SX Nhua Duy Tan,Khg kinh doanh(Khg co vi tri),N
18,3543335,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),Ngung Kinh doanh(Ban cham),N
19,3552977,11773,110-CTy CP SX Nhua Duy Tan,Dang kinh doanh,Y
20,3348369,16964,100-CTy TNHH Tan Hop Thanh,Dang kinh doanh,Y
21,3550808,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),Dang kinh doanh,Y
22,3547927,11773,110-CTy CP SX Nhua Duy Tan,Ngung Kinh doanh(Ban cham),N
24,3541465,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),Dang kinh doanh,Y
25,3541466,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),Dang kinh doanh,Y
26,3552978,11773,110-CTy CP SX Nhua Duy Tan,Khg kinh doanh(Khg co vi tri),N
27,3552976,11773,110-CTy CP SX Nhua Duy Tan,Dang kinh doanh,Y
31,3518675,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),Dang kinh doanh,Y
32,3518676,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),Dang kinh doanh,Y
33,3554249,11773,110-CTy CP SX Nhua Duy Tan,Khg kinh doanh(Khg co vi tri),N
35,3554247,11773,110-CTy CP SX Nhua Duy Tan,Khg kinh doanh(Khg co vi tri),N
36,3536487,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),Dang kinh doanh,Y
37,3528752,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),TTPP dut hang,Y
41,3550848,11773,110-CTy CP SX Nhua Duy Tan,Ngung Kinh doanh(Ban cham-khg co vi tri),N
42,3550850,11773,110-CTy CP SX Nhua Duy Tan,Dang kinh doanh,Y
43,3542949,16964,100-CTy TNHH Tan Hop Thanh,Dang kinh doanh,Y
44,3542950,16964,100-CTy TNHH Tan Hop Thanh,Dang kinh doanh,Y
45,3519234,11773,110-CTy CP SX Nhua Duy Tan,Khg kinh doanh(Khg co vi tri),N
46,3404156,11773,110-CTy CP SX Nhua Duy Tan,Ngung kinh doanh(Ban cham),N
47,3507586,11773,110-CTy CP SX Nhua Duy Tan,Dang kinh doanh,Y
48,3554236,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),Dang kinh doanh,Y
49,3426542,12995,100-CTy CP CB Go Duc Thanh-NR,Dang kinh doanh,Y
50,3426543,12995,100-CTy CP CB Go Duc Thanh-NR,Dang kinh doanh,Y
53,3437855,11773,110-CTy CP SX Nhua Duy Tan,Dang kinh doanh,Y
54,3437856,11773,110-CTy CP SX Nhua Duy Tan,TTPP dut hang,Y
55,3438238,11773,110-CTy CP SX Nhua Duy Tan,Khg kinh doanh-khg co vi tri,N
56,3519560,11773,110-CTy CP SX Nhua Duy Tan,Dang kinh doanh,Y
57,3519561,11773,110-CTy CP SX Nhua Duy Tan,Dang kinh doanh,Y
58,3520312,20888,100-Cty CP SX TM Nhua Hoang Chau-NR,Dang kinh doanh,Y
59,3520313,20888,100-Cty CP SX TM Nhua Hoang Chau-NR,Dang kinh doanh,Y
61,3055280,12989,100-CTY TNHH SAMRAN,Dang kinh doanh,Y
62,3055281,10985,100-Cty TM&PT Cong Nghe Kolend,Dang kinh doanh,Y
63,3055284,10985,100-Cty TM&PT Cong Nghe Kolend,Dang kinh doanh,Y
64,3055286,10985,100-Cty TM&PT Cong Nghe Kolend,Ngung kinh doanh(Ban cham-khg co vi tri),N
65,3055287,10985,100-Cty TM&PT Cong Nghe Kolend,Dang kinh doanh,Y
66,3055288,10985,100-Cty TM&PT Cong Nghe Kolend,Dang kinh doanh,Y
67,3055289,10985,100-Cty TM&PT Cong Nghe Kolend,Dang kinh doanh,Y
68,3055291,10985,100-Cty TM&PT Cong Nghe Kolend,Dang kinh doanh,Y
69,3062359,10985,100-Cty TM&PT Cong Nghe Kolend,Dang kinh doanh,Y
72,3318296,16964,100-CTy TNHH Tan Hop Thanh,Ngung kinh doanh(Ban cham),N
73,3190990,11777,100-CT CP Nhua Rang Dong Long An-NR,Dang kinh doanh,Y
74,3190991,11777,100-CT CP Nhua Rang Dong Long An-NR,Dang kinh doanh,Y
80,3501372,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),Dang kinh doanh,Y
84,3509230,11773,110-CTy CP SX Nhua Duy Tan,Khg kinh doanh(Khg co vi tri),N
85,3509231,11773,110-CTy CP SX Nhua Duy Tan,Ngung kinh doanh(Ma C),N
86,3509233,11773,110-CTy CP SX Nhua Duy Tan,Ngung kinh doanh(Ban cham),N
87,3509234,11773,110-CTy CP SX Nhua Duy Tan,Ngung kinh doanh(Ban cham),N
88,3509236,11773,110-CTy CP SX Nhua Duy Tan,Khg kinh doanh(Khg co vi tri),N
89,3101964,13979,100-CTy TNHH Thuong Mai L.H,Khg kinh doanh(Khg co vi tri),N
90,3101976,13979,100-CTy TNHH Thuong Mai L.H,Khg kinh doanh(Khg co vi tri),N
91,3102010,13979,100-CTy TNHH Thuong Mai L.H,Khg kinh doanh-khg co vi tri,N
94,3103381,10985,100-Cty TM&PT Cong Nghe Kolend,Dang kinh doanh,Y
95,3103382,10985,100-Cty TM&PT Cong Nghe Kolend,Dang kinh doanh,Y
98,3283554,11773,110-CTy CP SX Nhua Duy Tan,Ngung kinh doanh(Ban cham),N
102,3368148,11773,110-CTy CP SX Nhua Duy Tan,Ngung kinh doanh(Ma C),N
103,3368149,11773,110-CTy CP SX Nhua Duy Tan,Ngung kinh doanh(Ma C),N
104,3368150,11773,110-CTy CP SX Nhua Duy Tan,Khg kinh doanh(Khg co vi tri),N
105,3368151,11773,110-CTy CP SX Nhua Duy Tan,Dang kinh doanh,Y
107,3475382,16964,100-CTy TNHH Tan Hop Thanh,Ngung kinh doanh(Ma C),N
108,3475383,16964,100-CTy TNHH Tan Hop Thanh,Dang kinh doanh,Y
